Date,Plot,ID,Lc,H,P,Ll
9/12/2017,I2,485,6,13.4,11.2,12.5
9/12/2017,I2,486,9,21.3,9.3,14
9/12/2017,I2,320,0,7,7,0
9/12/2017,R1,378,4,14.2,9.4,12.2
9/12/2017,R1,29,5,8.2,7.6,9.2
9/12/2017,R1,268,2,6,5.6,4.3
9/12/2017,R1,386,4,8.9,8,11
9/12/2017,R1,399,1,11,8.2,5.2
9/12/2017,R1,394,3,13.6,12.1,11.2
9/12/2017,R1,393,3,13.4,7,12
9/12/2017,R1,384,4,9.2,8.2,14.2
9/12/2017,R1,489,4,10.4,10,15.2
9/12/2017,R1,389,4,13,10,13
9/12/2017,R1,386,4,16.2,14,16.2
9/12/2017,R1,383,2,20,20,17.4
9/12/2017,R1,389,4,14,10.2,12.2
9/12/2017,R1,388,4,10.3,4,14.6
9/12/2017,R1,387,1,10.2,10,14
9/12/2017,R1,395,6,8,4.2,12
9/12/2017,I1,32,5,10,9.2,8
9/12/2017,I1,320,2,9.8,9.7,2
9/12/2017,I1,271,0,6.2,6.2,0
9/12/2017,I1,407,8,19.3,12.3,19.1
9/12/2017,I1,272,0,6.5,6.5,0
9/12/2017,I1,403,7,15.2,11.5,13.4
9/12/2017,I1,402,6,17.2,11,11.7
9/12/2017,I1,410,8,23.3,12.2,14
9/12/2017,I1,411,5,12.3,9.2,13.2
9/12/2017,I1,412,3,12.2,11.7,14.2
9/12/2017,I1,273,0,4,4,0
9/12/2017,I1,274,0,6.3,6.3,0
9/12/2017,I1,404,4,13.7,12.6,13
9/12/2017,I1,405,3,12.3,11.6,13.2
9/12/2017,I1,408,5,9.7,9.5,12.3
9/12/2017,I1,414,6,10.1,6,15.4
9/12/2017,I1,47,5,10.4,10.3,8.1
9/12/2017,I1,419,4,15,12,5.2
9/12/2017,I1,418,5,14.2,10.3,10.3
9/12/2017,I1,413,4,10.3,9.2,7.6
9/12/2017,I1,415,4,14.3,7.6,12.3
9/12/2017,C1,251,1,6.2,6.2,1.4
9/12/2017,C1,252,1,6.2,6.1,1.7
9/12/2017,C1,352,2,14,14,3
9/12/2017,C1,351,4,12.7,11.6,14.6
9/12/2017,C1,353,3,16.4,14,18.3
9/12/2017,C1,356,5,11.3,8.2,16
9/12/2017,C1,254,1,5.2,4.3,1.3
9/12/2017,C1,354,4,9.6,8.7,12.1
9/12/2017,C1,3,0,8,8,0
9/12/2017,C1,355,4,14.2,13.1,16.3
9/12/2017,C1,253,0,0.7,0.7,0
9/12/2017,C1,257,1,7,7,1
9/12/2017,C1,358,6,11,6,12.7
9/12/2017,C1,357,3,12.6,11.2,15.2
9/12/2017,C1,17,4,13,13,2.6
9/12/2017,C1,362,4,13,10.3,16
9/12/2017,C1,363,6,16,16,16.3
9/12/2017,C1,19,5,11.2,9.6,10
9/12/2017,C1,365,4,18.2,16,18.2
9/12/2017,C1,260,0,5,5,0
9/12/2017,C1,370,5,11.3,10.6,14
9/12/2017,C1,360,5,13.2,11.2,13
9/12/2017,C1,260,0,5.4,5.4,0
9/12/2017,C1,361,5,12.3,10.2,11.2
9/12/2017,C1,261,1,5,5,2.3
9/12/2017,C1,366,6,15.9,13.2,14.9
9/12/2017,C1,370,5,12,6,10.9
9/12/2017,C1,360,0,6,6,0
9/12/2017,C1,265,0,4,4,0
