patch_code,myrtus_presence,patch_size(ha),disturbance(proportion_of_nitrophilous_ruderal_spp),R1_2002,R2_2002,R5_2002,R1_1956,R2_1956,R5_1956,UTM30SX,UTM30SY
263,0,9.13,0.333,0.2485,0.25799,0.14711,0.11409,0.23391,0.21296,165583,4132270
260,0,40.34,0.368,0.2464,0.25452,0.16363,0.20024,0.31684,0.20253,168824,4132047
247,1,225.88,0.193,0.65707,0.29751,0.18609,0.52628,0.37958,0.36013,174999,4129123
2170,1,11.57,0.167,0.10979,0.12513,0.15607,0.33063,0.22936,0.06082,254511,4041103
258,0,26.71,0.389,0.27678,0.25663,0.16928,0.19843,0.28662,0.2315,169395,4131682
3018,1,532.92,0.133,0.80713,0.4668,0.20601,0.6322,0.62066,0.36807,176836,4130534
259,1,14.4,0.385,0.2533,0.24837,0.16456,0.19216,0.24125,0.25718,169750,4131166
192,0,3.02,0.256,0.05699,0.16109,0.16308,0.6932,0.5034,0.41774,202480,4130343
113,0,1.56,0.759,0.04209,0.03722,0.16832,0.04115,0.0018,0.001,375954,4147260
347,1,33.88,0.194,0.12721,0.16451,0.21103,0.58716,0.5318,0.46785,216194,4130675
363,1,4.19,0.308,0.01745,0.01225,0.19756,0.46947,0.36066,0.48446,219454,4129443
348,0,6.08,0.727,0.10928,0.06882,0.20709,0.22998,0.31163,0.47879,216983,4130625
3027,1,2024.9,0.399,0.98475,0.82594,0.30116,0.99812,0.97021,0.52391,216597,4126669
364,0,1.29,0.385,0.01745,0.0599,0.21082,0.56688,0.39524,0.49969,219445,4128936
214,1,35.49,0.308,0.22923,0.17676,0.25089,0.59888,0.38034,0.41584,191739,4126856
59,1,28.25,0.545,0.24369,0.30837,0.25172,0.64944,0.6376,0.33727,216982,4124064
193,1,15.01,0.29,0.04777,0.06558,0.24856,0.3142,0.30108,0.61068,195908,4128150
238,1,10.8,0.346,0.0667,0.057,0.24701,0.59197,0.67969,0.4545,177217,4120344
2210,0,8.9,0.615,0.05531,0.12099,0.25297,0.04307,0.00402,0.00127,281195,4033845
233,0,4.22,0.294,0.02385,0.02461,0.25592,0.44829,0.50531,0.35212,173751,4120069
235,0,0.82,0.167,0.04029,0.05936,0.24342,0.73901,0.64354,0.39575,174654,4120071
