Urban,Agriculture,BIBI,Nitrate,Phosphate
0.107411386,13.53383459,2.428569794,0.014,0.0007
0.079968013,10.75569772,3,0.055,0.0007
0.378787879,34.50757576,3,1.185,0.007
0.245700246,94.1031941,1.859999657,3.518,0.0005
0.112930548,36.9282891,4.329998016,0.695,0.0041
0.693866223,86.59450458,3,4.155,0.0046
1.064891847,75.74043261,2.13999939,2.398,0.003
0.773782431,0.910332271,3.219999313,0.025,0.0014
0.450196961,52.11029826,4.559997559,1.182,0.0045
0.129092829,69.86269217,3.88999939,2.895,0.0028
0.279069767,42.04651163,3.857141495,1.494,0.003
0.158856235,30.26211279,2.13999939,0.048,0.0162
0.158982512,42.68680445,1.859999657,0.993,0.0027
0.726806327,94.99786233,2.429998398,2.204,0.0078
0.51241624,84.11509657,2.13999939,3.753,0.0115
0.95475301,84.47488584,2.709999084,4.493,0.008
0.301204819,94.57831325,3.444442749,3.609,0.0123
0.94972067,0,3.88999939,0.133,0
0.087145969,64.44444444,4.329998016,2.451,0.0025
0.134318334,63.26393553,1.571428299,1.773,0.0087
0.071681652,28.2466668,4.13999939,1.033,0.0007
1.960784314,23.92156863,4.109996796,0.145,0.0022
0.451467269,13.31828442,1.888888359,1.912,0.0094
0.668286756,4.799513973,3.669998169,0.008,0.0002
0.379266751,79.83565107,1.569999695,5.766,0.0049
0.118800119,3.926343926,3.285713196,0.005,0.0028
0.767508794,77.80620403,3.289999008,4.183,0.0146
0.078390384,50.06532532,4.559997559,1.766,0.0007
1.988950276,11.65745856,5,0.392,0.0001
2.374980404,3.723154099,2.329999924,0.184,0.0007
0.393258427,57.30337079,3.669998169,1.635,0.0035
1.792787159,0,2.779998779,0.369,0.0029
0.480521709,40.8271838,4.709999084,1.575,0.0147
0.053648069,68.21351931,1.859999657,0.052,0.0007
2.176239743,0,1.888888359,0.038,0.0007
2.949245542,4.115226337,1.669999123,0.008,0
0.087873462,49.73637961,1.571428299,0.538,0.0035
